name
Addalachchenai 344/C
Addalachchenai Central
Giriulla Central
Giriulla Central 553
Giriulla Central 775
Giriulla Central 789
Giriulla Central 844/A
Giriulla East
Giriulla East 816/C
Giriulla East 84
Giriulla Ihala 191/C
Giriulla Ihala 547/C
Giriulla Ihala 644/C
Giriulla North 462/A
Giriulla North 621/C
Giriulla South 596/C
Giriulla West
Giriulla West 265/A
Godakawela
Godakawela 638/C
Godakawela 724/B
Godakawela 775/C
Godakawela Central
Godakawela Central 836/A
Godakawela East
Godakawela East 331/C
Godakawela East 86
Godakawela Ihala
Godakawela Ihala 561/A
Godakawela North
Godakawela North 42/B
Godakawela North 472/A
Godakawela Pahala
Godakawela South 629/A
Gomarankadawala 105/C
Gomarankadawala 330/A
Gomarankadawala Central
Gomarankadawala Central 453/B
Gomarankadawala Central 665
Gomarankadawala East 420/A
Gomarankadawala East 491/A
Gomarankadawala East 677/A
Gomarankadawala East 805/C
Gomarankadawala East 873/C
Gomarankadawala East 932/B
Gomarankadawala Ihala
Gomarankadawala Ihala 188/B
Gomarankadawala North
Gomarankadawala North 697/C
Gomarankadawala Pahala
Gomarankadawala South
Gomarankadawala South 264
Gomarankadawala South 696/C
Gomarankadawala South 800/C
Gomarankadawala West 448/A
Habaraduwa
Habaraduwa 203/B
Habaraduwa 206/A
Habaraduwa 534/B
Habaraduwa Central
Habaraduwa Central 566/C
Habaraduwa Central 737
Habaraduwa East 418/B
Habaraduwa East 66
Habaraduwa Ihala 236/C
Habaraduwa Ihala 303/A
Habaraduwa Ihala 960/A
Habaraduwa North 114
Habaraduwa North 137/B
Habaraduwa North 854/A
Habaraduwa North 911
Habaraduwa Pahala
Habaraduwa South 135/B
Habaraduwa South 322/A
Habaraduwa West
Habaraduwa West 366
Hakmana Central 357/C
Hakmana East
Hakmana East 999
Hakmana Ihala 18/A
Hakmana Ihala 306/C
Hakmana Ihala 633/C
Hakmana Ihala 696/B
Hakmana North
Hakmana North 84/C
Hakmana Pahala
Hakmana Pahala 569
Hakmana Pahala 781/C
Hakmana Pahala 798/B
Hakmana West
Hali-Ela 474
Hali-Ela 735
Hali-Ela Central 200
Hali-Ela Central 439/A
Hali-Ela Central 691/A
Hali-Ela East 681/B
Hali-Ela Ihala 221/B
Hali-Ela Ihala 709/C
Hali-Ela Ihala 927/C
Hali-Ela North 145/B
Hali-Ela North 261
Hali-Ela North 276/B
Hali-Ela North 467/A
Hali-Ela Pahala 285/C
Hali-Ela Pahala 713/A
Hali-Ela South 263/B
Hali-Ela South 512/B
Hali-Ela West 138/B
Hambantota
Hambantota 351/B
Hambantota 976/C
Hambantota Central
Hambantota Central 32/A
Hambantota East
Hambantota East 786/B
Hambantota East 885/C
Hambantota Ihala 240
Hambantota Ihala 365/B
Hambantota North
Hambantota North 691/C
Hambantota Pahala
Hambantota Pahala 258/A
Hambantota Pahala 58/B
Hambantota Pahala 802/A
Hambantota Pahala 874/A
Hambantota Pahala 885/A
Hambantota South
Hambantota West 189/A
Hambantota West 198/B
Hambantota West 369/A
Hambantota West 897
Hanguranketha 249/C
Hanguranketha 300/B
Hanguranketha 625/A
Hanguranketha Central
Hanguranketha Central 811/A
Hanguranketha East
Hanguranketha East 116/C
Hanguranketha East 151
Hanguranketha East 483
Hanguranketha East 61
Hanguranketha Ihala
Hanguranketha Ihala 261/B
Hanguranketha Ihala 628/C
Hanguranketha Ihala 730
Hanguranketha North 523/C
Hanguranketha North 957/A
Hanguranketha Pahala
Hanguranketha Pahala 756/C
Hanguranketha Pahala 925
Hanguranketha South 193/A
Hanguranketha South 36
Hanguranketha West 254
Haputale
Haputale 825/B
Haputale Central
Haputale Central 183
Haputale Central 610/A
Haputale East
Haputale East 59/B
Haputale East 77/A
Haputale East 869
Haputale Ihala
Haputale Ihala 87/B
Haputale Ihala 976/A
Haputale North 59
Haputale North 780/A
Haputale North 980/B
Haputale Pahala
Haputale Pahala 524/C
Haputale South
Haputale South 733/B
Haputale West 667/B
Haputale West 723/B
Harispattuwa
Harispattuwa 607/C
Harispattuwa Central 186/A
Harispattuwa Central 197
Harispattuwa Central 392/A
Harispattuwa Central 441
Harispattuwa Central 826/A
Harispattuwa Central 840
Harispattuwa East 742/C
Harispattuwa Ihala
Harispattuwa Ihala 76/B
Harispattuwa Ihala 998
Harispattuwa North 424/B
Harispattuwa North 792/C
Harispattuwa Pahala 364
Harispattuwa Pahala 667
Harispattuwa Pahala 710
Harispattuwa Pahala 950
Harispattuwa South 515
Harispattuwa South 758/B
Harispattuwa South 767/C
Harispattuwa West
Harispattuwa West 141/B
Hatton
Hatton Central
Hatton East
Hatton East 178/C
Hatton East 413/C
Hatton East 850/C
Hatton East 967/B
Hatton Ihala
Hatton Ihala 174/B
Hatton Ihala 353
Hatton Ihala 49/A
Hatton Ihala 547/C
Hatton Ihala 994
Hatton North
Hatton Pahala
Hatton Pahala 216/B
Hatton Pahala 552/C
Hatton Pahala 594/B
Hatton Pahala 926/C
Hatton South
Hatton South 506
Hatton West
Hatton West 491/A
Hatton West 634/B
Hikkaduwa Central
Hikkaduwa Central 898
Hikkaduwa East
Hikkaduwa East 118
Hikkaduwa Ihala 387/C
Hikkaduwa Ihala 402/C
Hikkaduwa Ihala 473/C
Hikkaduwa North
Hikkaduwa North 166/A
Hikkaduwa North 795
Hikkaduwa South
Hikkaduwa South 631/B
Hikkaduwa West
Hikkaduwa West 820/C
Hinguradeniya 485/C
Hinguradeniya Central
Hinguradeniya Central 572/C
Hinguradeniya East
Hinguradeniya East 354/B
Hinguradeniya North 953/C
Hinguradeniya Pahala 141/C
Hinguradeniya Pahala 559
Hinguradeniya Pahala 591
Hinguradeniya Pahala 71/A
Hinguradeniya South 661/B
Hinguradeniya South 909/B
Hinguradeniya South 977
Hinguradeniya West
Hinguradeniya West 733/A
Hinguragala 871/A
Hinguragala Central 699/B
Hinguragala East
Hinguragala East 117
Hinguragala East 520
Hinguragala East 827
Hinguragala Ihala
Hinguragala Ihala 544/A
Hinguragala North 65/B
Hinguragala Pahala 791/A
Hinguragala South 947/C
Hinguragama Central
Hinguragama Central 704/C
Hinguragama Central 823/A
Hinguragama Central 969/B
Hinguragama East
Hinguragama East 259
Hinguragama East 442/B
Hinguragama Ihala 220/A
Hinguragama Ihala 447/B
Hinguragama North 295/A
Hinguragama North 336/C
Hinguragama North 46/C
Hinguragama South 228/C
Hinguragama South 244/C
Hinguragamuwa
Hinguragamuwa 518/C
Hinguragamuwa 881/C
Hinguragamuwa East 975
Hinguragamuwa Ihala
Hinguragamuwa Ihala 164/B
Hinguragamuwa Ihala 203/B
Hinguragamuwa Ihala 47/C
Hinguragamuwa Ihala 835/B
Hinguragamuwa Pahala 805/B
Hinguragamuwa South
Hinguragamuwa South 215/A
Hinguragamuwa West 518/C
Hinguragedara East
Hinguragedara Ihala
Hinguragedara Ihala 326/C
Hinguragedara Ihala 458/A
Hinguragedara Ihala 545/C
Hinguragedara Ihala 669/C
Hinguragedara North
Hinguragedara North 288/C
Hinguragedara North 772/C
Hinguragedara North 981/B
Hinguragedara Pahala 479/B
Hinguragedara Pahala 988/B
Hinguragedara South 322/C
Hinguragoda
Hinguragoda 190/A
Hinguragoda Central
Hinguragoda Central 634/C
Hinguragoda East 421
Hinguragoda North 273/A
Hinguragoda North 831/C
Hinguragoda Pahala 275
Hinguragoda Pahala 480/C
Hinguragoda Pahala 627/B
Hinguragoda South 979/A
Hinguragoda West
Hingurahena 198/B
Hingurahena 60/C
Hingurahena Central 574
Hingurahena East 303
Hingurahena East 32/B
Hingurahena Ihala 224/C
Hingurahena North 981/B
Hingurahena Pahala 118/C
Hingurahena Pahala 16/B
Hingurahena South 183/B
Hingurahena South 295/B
Hingurahena South 796/C
Hingurahena South 828/C
Hingurakaduwa 31
Hingurakaduwa Central
Hingurakaduwa Central 599/A
Hingurakaduwa Central 670/C
Hingurakaduwa East
Hingurakaduwa East 557/A
Hingurakaduwa Ihala 138
Hingurakaduwa Ihala 298
Hingurakaduwa South 565/B
Hingurakaduwa West 142/C
Hingurakaduwa West 593/A
Hingurakanda Central
Hingurakanda Central 328/A
Hingurakanda Central 811
Hingurakanda East
Hingurakanda East 120/A
Hingurakanda East 633
Hingurakanda Ihala 36
Hingurakanda Ihala 521/B
Hingurakanda North 585
Hingurakanda North 834
Hingurakanda Pahala
Hingurakanda Pahala 344/C
Hingurakanda South
Hingurakanda West 230
Hingurakanda West 866/B
Hingurakanda West 954
Hingurakgoda 269/C
Hingurakgoda 32
Hingurakgoda Central 650/B
Hingurakgoda East
Hingurakgoda East 154/A
Hingurakgoda East 666/A
Hingurakgoda Ihala 362/C
Hingurakgoda North 107/A
Hingurakgoda South 287/C
Hingurakgoda South 339
Hingurakgoda West 204
Hingurakgoda West 231
Hingurakgoda West 451/A
Hingurakumbura 947/B
Hingurakumbura East
Hingurakumbura East 251/B
Hingurakumbura Ihala 971/C
Hingurakumbura North 232/A
Hingurakumbura North 387/B
Hingurakumbura Pahala 759/C
Hingurakumbura South
Hingurakumbura South 4/A
Hingurakumbura West 351/B
Hingurakumbura West 453/A
Hinguramulla 246/A
Hinguramulla Central
Hinguramulla Central 224/C
Hinguramulla Ihala
Hinguramulla North 308/C
Hinguramulla North 764
Hinguramulla North 994/A
Hinguramulla Pahala
Hinguramulla Pahala 460/C
Hinguramulla Pahala 47
Hinguramulla Pahala 69/B
Hinguramulla South 445
Hinguramulla South 858/B
Hinguraoya Central
Hinguraoya Ihala 380/B
Hinguraoya North
Hinguraoya Pahala
Hinguraoya South
Hinguraoya West
Hinguraoya West 215
Hinguraoya West 741/C
Hingurapitiya 164/C
Hingurapitiya 562
Hingurapitiya Central 883/B
Hingurapitiya East
Hingurapitiya North
Hingurapitiya North 226
Hingurapitiya Pahala
Hingurapitiya Pahala 926
Hingurapitiya South
Hingurapitiya South 310/B
Hingurapitiya South 41/A
Hingurapitiya South 414/C
Hingurapitiya South 456
Hingurapitiya West 812
Hingurapura Central
Hingurapura Central 225
Hingurapura Central 491/A
Hingurapura Central 613/A
Hingurapura Central 667/C
Hingurapura Central 752/B
Hingurapura East
Hingurapura Ihala 184/A
Hingurapura Ihala 932/C
Hingurapura North
Hingurapura North 512/C
Hingurapura North 736/A
Hingurapura Pahala
Hingurapura Pahala 210/C
Hingurapura South
Hingurapura South 142/A
Hingurapura South 865/C
Hingurapura West
Hingurapura West 71/B
Hinguratota 675
Hinguratota 793/B
Hinguratota East
Hinguratota East 434/B
Hinguratota Ihala
Hinguratota Ihala 815/B
Hinguratota Pahala 83/A
Hingurawatta
Hingurawatta 758/B
Hingurawatta Central 332/C
Hingurawatta East
Hingurawatta East 578/B
Hingurawatta Ihala
Hingurawatta Ihala 922/C
Hingurawatta Pahala 949
Hingurawatta South 629
Hingurawatta West
Hingurawatta West 543/A
Hingurawatta West 614/C
Hingurawela
Hingurawela 196/C
Hingurawela 319/C
Hingurawela 503
Hingurawela 713/C
Hingurawela Central 592/A
Hingurawela Central 83/B
Hingurawela East
Hingurawela Ihala
Hingurawela Ihala 450
Hingurawela North
Hingurawela North 763
Hingurawela North 834
Hingurawela North 988
Hingurawela Pahala
Hingurawela Pahala 127/C
Hingurawela South 7/C
Hingurawela West 584
Homagama
Homagama Central
Homagama Central 404/A
Homagama Central 549/C
Homagama East 465/C
Homagama East 637/B
Homagama East 977/B
Homagama Ihala 504/A
Homagama North
Homagama North 638
Homagama North 998/A
Homagama Pahala 512
Homagama South
Homagama West
Horana
Horana 154
Horana 811/A
Horana 850
Horana Central
Horana Central 159/C
Horana Central 459/C
Horana East
Horana East 807/C
Horana East 98
Horana Ihala
Horana North
Horana North 259/C
Horana North 749
Horana North 934/C
Horana South 419/A
Horana South 888
Horana West 985
Horowpothana
Horowpothana 177/A
Horowpothana Central
Horowpothana East 263/A
Horowpothana East 749/C
Horowpothana East 955/B
Horowpothana Ihala 19/C
Horowpothana North 623
Horowpothana Pahala
Horowpothana South 269/C
Horowpothana West 446/C
Horowpothana West 824/C
Ibbagamuwa
Ibbagamuwa Central 339/A
Ibbagamuwa Central 366/C
Ibbagamuwa Central 973
Ibbagamuwa East 169/A
Ibbagamuwa East 698/B
Ibbagamuwa Ihala
Ibbagamuwa Ihala 544/B
Ibbagamuwa Pahala
Ibbagamuwa Pahala 281
Ibbagamuwa South
Ibbagamuwa South 106/A
Ibbagamuwa South 552/B
Ibbagamuwa South 928/A
Ihaladeniya 343/A
Ihaladeniya Central
Ihaladeniya Central 466/B
Ihaladeniya Central 613/B
Ihaladeniya Central 981
Ihaladeniya East 794/C
Ihaladeniya Ihala
Ihaladeniya Ihala 171
Ihaladeniya Ihala 196/B
Ihaladeniya Ihala 571/C
Ihaladeniya Ihala 683
Ihaladeniya North 457/B
Ihaladeniya Pahala
Ihaladeniya Pahala 132/C
Ihaladeniya Pahala 737/B
Ihaladeniya South 128
Ihaladeniya South 421/B
Ihaladeniya South 506/C
Ihaladeniya South 769
Ihaladeniya West 425/A
Ihalagala 657/C
Ihalagala 942/A
Ihalagala Central
Ihalagala East
Ihalagala East 533
Ihalagala Ihala
Ihalagala Ihala 785/C
Ihalagala North 303/A
Ihalagala North 442
Ihalagala North 772/C
Ihalagala North 839
Ihalagala Pahala 736/C
Ihalagala South
Ihalagala South 39/C
Ihalagala West
Ihalagala West 650/C
Ihalagala West 910/B
Ihalagama 503/A
Ihalagama Central
Ihalagama Central 65/A
Ihalagama East
Ihalagama East 639
Ihalagama East 653
Ihalagama Ihala
Ihalagama Ihala 630/B
Ihalagama North 8/C
Ihalagama North 887/A
Ihalagama Pahala 807
Ihalagama South 895/C
Ihalagama West
Ihalagama West 712/C
Ihalagamuwa 865/C
Ihalagamuwa Central
Ihalagamuwa Central 194
Ihalagamuwa East 340
Ihalagamuwa East 408/B
Ihalagamuwa East 75
Ihalagamuwa East 855/C
Ihalagamuwa Ihala
Ihalagamuwa Ihala 194/A
Ihalagamuwa Ihala 295/B
Ihalagamuwa North
Ihalagamuwa North 34/A
Ihalagamuwa Pahala 634/B
Ihalagamuwa Pahala 852/A
Ihalagamuwa South
Ihalagamuwa South 105/B
Ihalagamuwa South 228/B
Ihalagamuwa South 393/B
Ihalagamuwa South 859
Ihalagamuwa West
Ihalagedara 112
Ihalagedara 64/B
Ihalagedara Central
Ihalagedara Central 290/B
Ihalagedara East 347
Ihalagedara Ihala
Ihalagedara Ihala 625/C
Ihalagedara North
Ihalagedara North 739
Ihalagedara North 86/A
Ihalagedara Pahala 1/A
Ihalagedara Pahala 230/B
Ihalagedara Pahala 299/C
Ihalagedara South 986/C
Ihalagedara West
Ihalagedara West 122
Ihalagoda 676/B
Ihalagoda 979/C
Ihalagoda Central
Ihalagoda East
Ihalagoda Ihala 306
Ihalagoda Ihala 68/C
Ihalagoda Ihala 70/B
Ihalagoda Pahala 133
Ihalagoda Pahala 37
Ihalagoda South 156/A
Ihalahena
Ihalahena Central
Ihalahena Central 18/A
Ihalahena Central 914/A
Ihalahena East 773/C
Ihalahena East 790/A
Ihalahena Ihala
Ihalahena Ihala 144/C
Ihalahena Ihala 628/B
Ihalahena North
Ihalahena Pahala
Ihalahena Pahala 108/B
Ihalahena Pahala 913/B
Ihalahena South 311/C
Ihalahena South 524/B
Ihalahena South 870
Ihalahena West
Ihalahena West 120/A
Ihalakaduwa East
Ihalakaduwa East 316
Ihalakaduwa East 654/B
Ihalakaduwa Ihala
Ihalakaduwa Ihala 390/C
Ihalakaduwa Ihala 969
Ihalakanda 10/A
Ihalakanda Central
Ihalakanda East 143/A
Ihalakanda East 674/A
Ihalakanda East 981
Ihalakanda Ihala 693/A
Ihalakanda Ihala 993
Ihalakanda North 107/C
Ihalakanda North 521/B
Ihalakanda North 757/B
Ihalakanda Pahala 325
Ihalakanda South
Ihalakanda South 564/C
Ihalakumbura Central 998
Ihalakumbura East
Ihalakumbura East 128/B
Ihalakumbura Ihala
Ihalakumbura North
Ihalakumbura Pahala 128/A
Ihalakumbura Pahala 432/C
Ihalakumbura South
Ihalakumbura South 690
Ihalakumbura South 918
Ihalakumbura West
Ihalakumbura West 408/B
Ihalakumbura West 650
Ihalamulla 28/A
Ihalamulla Central 560
Ihalamulla East
Ihalamulla East 371/A
Ihalamulla Ihala
Ihalamulla North
Ihalamulla North 351/A
Ihalamulla North 634
Ihalamulla North 876
Ihalamulla South 191/B
Ihalamulla South 740/A
Ihalamulla South 796/A
Ihalamulla South 953
Ihalamulla West
Ihalamulla West 636
Ihalamulla West 79/A
Ihalamulla West 81/B
Ihalamulla West 902/A
Ihalaoya
Ihalaoya 249/C
Ihalaoya 582/B
Ihalaoya Central
Ihalaoya East
Ihalaoya East 757
Ihalaoya Ihala
Ihalaoya Ihala 801/B
Ihalaoya North 318/C
Ihalaoya North 323
Ihalaoya Pahala 576/A
Ihalaoya South 261/B
Ihalaoya West
Ihalaoya West 195
Ihalaoya West 446/A
Ihalaoya West 82/A
Ihalapitiya
Ihalapitiya Central 804/B
Ihalapitiya East
Ihalapitiya East 507/C
Ihalapitiya East 898/A
Ihalapitiya North
Ihalapitiya North 268
Ihalapitiya Pahala
Ihalapitiya Pahala 924/B
Ihalapitiya South 939/B
Ihalapitiya South 985
Ihalapitiya West 374/C
Ihalapura 351/B
Ihalapura 622/B
Ihalapura Central
Ihalapura East 564/A
Ihalapura East 85
Ihalapura Ihala 193/B
Ihalapura Ihala 67/A
Ihalapura North 634
Ihalapura Pahala 97/C
Ihalapura South
Ihalapura South 315/B
Ihalapura South 548/C
Ihalapura South 927/A
Ihalapura West
Ihalapura West 112
Ihalatota 80/C
Ihalatota 904
Ihalatota Central
Ihalatota Central 47
Ihalatota East 296/B
Ihalatota East 394
Ihalatota East 404/B
Ihalatota East 675/B
Ihalatota East 676/A
Ihalatota East 985/B
Ihalatota Ihala
Ihalatota Ihala 146/C
Ihalatota North 749/B
Ihalatota North 921/A
Ihalatota Pahala 498
Ihalatota West 535/B
Ihalatota West 803/A
Ihalatota West 947/B
Ihalatota West 982/B
Ihalawatta 154/C
Ihalawatta 374/C
Ihalawatta Ihala 97/C
Ihalawatta North
Ihalawatta North 908/C
Ihalawatta Pahala
Ihalawatta South
Ihalawatta South 550/A
Ihalawatta West
Ihalawatta West 398/B
Ihalawatta West 922
Ihalawela 310/C
Ihalawela Central 511/B
Ihalawela Central 817
Ihalawela East
Ihalawela Ihala
Ihalawela North
Ihalawela North 719/B
Ihalawela Pahala 455
Ihalawela Pahala 861
Ihalawela Pahala 948/A
Ihalawela South
Ihalawela South 112/B
Ihalawela South 56/B
Ihalawela West 873
Imaduwa 256/A
Imaduwa Central 188/A
Imaduwa Central 725/A
Imaduwa Central 822/A
Imaduwa East 700/B
Imaduwa Ihala 292/C
Imaduwa North
Imaduwa North 182/B
Imaduwa North 78/B
Imaduwa Pahala
Imaduwa South 191/A
Imaduwa South 397
Imaduwa South 831/B
Imaduwa West 228/B
Imaduwa West 624/A
Imaduwa West 855/C
Imbulpe 163
Imbulpe 251
Imbulpe 772/B
Imbulpe Central 63/A
Imbulpe East
Imbulpe East 269
Imbulpe East 481/B
Imbulpe East 682/B
Imbulpe Ihala
Imbulpe Ihala 415
Imbulpe North
Imbulpe North 746/C
Imbulpe North 849
Imbulpe North 869
Imbulpe Pahala 222/A
Imbulpe South 253/B
Imbulpe South 332/A
Imbulpe South 62/A
Imbulpe South 965/A
Imbulpe West
Imbulpe West 220/C
Imbulpe West 658
Imbulpe West 77
Ja-Ela 206
Ja-Ela 562/C
Ja-Ela Central 811
Ja-Ela East
Ja-Ela Ihala 105/A
Ja-Ela Ihala 239/B
Ja-Ela Ihala 306
Ja-Ela North 221/A
Ja-Ela North 283/A
Ja-Ela North 404/B
Ja-Ela North 746
Ja-Ela North 945/C
Ja-Ela Pahala 380/C
Ja-Ela Pahala 703/B
Ja-Ela South
Ja-Ela South 186/C
Ja-Ela South 34/A
Ja-Ela West 336/A
Ja-Ela West 394/A
Ja-Ela West 461/B
Ja-Ela West 578/A
Ja-Ela West 588/B
Jaffna
Jaffna 211
Jaffna 278/C
Jaffna East 564/A
Jaffna Ihala 117/A
Jaffna Ihala 502/C
Jaffna Ihala 623/C
Jaffna North 480/B
Jaffna North 564/B
Jaffna North 609/A
Jaffna Pahala
Jaffna Pahala 401/C
Jaffna Pahala 632
Jaffna South
Jaffna South 212/A
Jaffna South 866/C
Jaffna South 9
Jaffna West 347/B
Kaduwela
Kaduwela Central 380/A
Kaduwela Central 952/C
Kaduwela East 329/A
Kaduwela East 367
Kaduwela East 657/A
Kaduwela Ihala 146/C
Kaduwela North 647/A
Kaduwela Pahala
Kaduwela South 278/C
Kaduwela South 695/C
Kaduwela West
Kaduwela West 477
Kaduwela West 723/C
Kahatagasdigiliya 133/C
Kahatagasdigiliya 646/B
Kahatagasdigiliya 750/C
Kahatagasdigiliya Central 384/A
Kahatagasdigiliya Central 983/C
Kahatagasdigiliya East 288/B
Kahatagasdigiliya Ihala
Kahatagasdigiliya Ihala 115/B
Kahatagasdigiliya Ihala 192/B
Kahatagasdigiliya Ihala 46/B
Kahatagasdigiliya Ihala 583/B
Kahatagasdigiliya North 883/B
Kahatagasdigiliya North 94
Kahatagasdigiliya Pahala
Kahatagasdigiliya Pahala 123/B
Kahatagasdigiliya Pahala 869/A
Kahatagasdigiliya South 502
Kahatagasdigiliya South 970/B
Kahatagasdigiliya West 36
Kahatagasdigiliya West 975
Kahawatta 226/A
Kahawatta Central 353
Kahawatta Central 366/B
Kahawatta Central 531/B
Kahawatta Central 761/C
Kahawatta East
Kahawatta East 221/C
Kahawatta East 352/A
Kahawatta Ihala 297/B
Kahawatta North 19/A
Kahawatta North 201/C
Kahawatta North 535/B
Kahawatta North 639
Kahawatta North 77/C
Kahawatta North 950/A
Kahawatta Pahala 877/C
Kahawatta South
Kahawatta South 888/B
Kahawatta South 955/A
Kahawatta West
Kahawatta West 162/C
Kahawatta West 582
Kahawatta West 958
Kalawana
Kalawana 813/B
Kalawana 970
Kalawana Central
Kalawana Central 574/A
Kalawana East 273/A
Kalawana Ihala 262/C
Kalawana Ihala 282/B
Kalawana Ihala 859
Kalawana Ihala 904/B
Kalawana North
Kalawana North 622/B
Kalawana North 626
Kalawana North 914/A
Kalawana Pahala
Kalawana Pahala 715/C
Kalawana Pahala 728/B
Kalawana South 527/B
Kalawana West 644
Kalmunai 22/B
Kalmunai 256
Kalmunai 751
Kalmunai Central 206/A
Kalmunai Central 234/C
Kalmunai Central 631/A
Kalmunai East 952
Kalmunai Ihala 603
Kalmunai Ihala 623/B
Kalmunai Ihala 814/B
Kalmunai North
Kalmunai North 861/C
Kalmunai Pahala
Kalmunai Pahala 52/A
Kalmunai Pahala 646/C
Kalmunai South 965/A
Kalmunai West
Kalmunai West 169/B
Kalmunai West 477/C
Kalmunai West 992
Kalpitiya
Kalpitiya 900/A
Kalpitiya 969/B
Kalpitiya Central
Kalpitiya Central 3/A
Kalpitiya Central 390/C
Kalpitiya East
Kalpitiya East 867/C
Kalpitiya East 991/A
Kalpitiya Ihala
Kalpitiya North
Kalpitiya North 302/A
Kalpitiya South 347
Kalpitiya South 532/A
Kalpitiya South 807/C
Kalpitiya West
Kalpitiya West 111/B
Kalpitiya West 30/B
Kalpitiya West 911/C
Kaludeniya Central 481/B
Kaludeniya Central 70/B
Kaludeniya East
Kaludeniya East 261
Kaludeniya East 371/C
Kaludeniya East 972/B
Kaludeniya Ihala 834/B
Kaludeniya North
Kaludeniya Pahala
Kaludeniya South 18/C
Kaludeniya West
Kalugala 701/B
Kalugala Central 57/B
Kalugala Central 778/A
Kalugala Central 95/B
Kalugala East 784
Kalugala East 926
Kalugala North 71/C
Kalugala Pahala 351/B
Kalugala South 251
Kalugala South 877/C
Kalugala West 275
Kalugala West 799
Kalugama
Kalugama 33
Kalugama 547
Kalugama 976/B
Kalugama Central
Kalugama Central 308
Kalugama East 325/A
Kalugama Ihala 605/B
Kalugama Ihala 793/B
Kalugama North
Kalugama North 205/A
Kalugama North 641
Kalugama Pahala
Kalugama Pahala 111
Kalugama Pahala 83/A
Kalugama South 404
Kalugama South 41
Kalugama South 957/C
Kalugama West
Kalugama West 145/B
Kalugama West 404/B
Kalugama West 58/A
Kalugama West 585/A
Kalugamuwa 378/B
Kalugamuwa Central
Kalugamuwa Central 325/B
Kalugamuwa Central 853/B
Kalugamuwa East 132/A
Kalugamuwa East 950/C
Kalugamuwa Ihala 112/B
Kalugamuwa North 668/B
Kalugamuwa North 67/C
Kalugamuwa North 988/B
Kalugamuwa Pahala
Kalugamuwa Pahala 618/B
Kalugamuwa Pahala 71/C
Kalugamuwa South 407/A
Kalugamuwa South 885/C
Kalugamuwa West 781
Kalugamuwa West 877/A
Kalugamuwa West 99/C
Kalugedara
Kalugedara 531/A
Kalugedara Central
Kalugedara Central 213/A
Kalugedara East
Kalugedara East 590/B
Kalugedara Ihala
Kalugedara Ihala 39/A
Kalugedara Ihala 557/A
Kalugedara Pahala
Kalugedara Pahala 243/A
Kalugedara Pahala 475/A
Kalugedara South
Kalugedara South 860/A
Kalugedara West 495/A
Kalugedara West 525/C
Kalugedara West 618
Kalugoda
Kalugoda 710/C
Kalugoda Central
Kalugoda Central 252/B
Kalugoda East
Kalugoda North
Kalugoda Pahala
Kalugoda Pahala 273/A
Kalugoda Pahala 520/B
Kalugoda Pahala 651
Kalugoda Pahala 989
Kalugoda South
Kalugoda South 412
Kalugoda South 94/B
Kalugoda West 10/C
Kaluhena 201
Kaluhena 911
Kaluhena 977/C
Kaluhena Central 8
Kaluhena East
Kaluhena East 124/B
Kaluhena East 281
Kaluhena East 791/C
Kaluhena East 830/C
Kaluhena Ihala
Kaluhena North 321/C
Kaluhena Pahala
Kaluhena South 169/C
Kalukaduwa Central
Kalukaduwa Central 821/A
Kalukaduwa East 484/A
Kalukaduwa East 556
Kalukaduwa East 667/B
Kalukaduwa Ihala
Kalukaduwa Ihala 114/A
Kalukaduwa Ihala 682/C
Kalukaduwa North 154
Kalukaduwa North 620/B
Kalukaduwa Pahala 855/C
Kalukaduwa South
Kalukaduwa South 968
Kalukaduwa West
Kalukaduwa West 113
Kalukaduwa West 811/B
Kalukaduwa West 905/B
Kalukaduwa West 999
Kalukanda
Kalukanda 520/B
Kalukanda 932/C
Kalukanda Central 992/A
Kalukanda East
Kalukanda East 136/C
Kalukanda Ihala 375/A
Kalukanda Ihala 398/C
Kalukanda Ihala 670/C
Kalukanda Ihala 832/A
Kalukanda Ihala 990/A
Kalukanda North
Kalukanda North 393/B
Kalukanda North 393/C
Kalukanda Pahala 246/B
Kalukanda Pahala 39/C
Kalukanda Pahala 952/A
Kalukanda South 10/C
Kalukanda West 118/C
Kalukumbura 588/A
Kalukumbura 922/C
Kalukumbura Ihala 183
Kalukumbura Ihala 260
Kalukumbura Ihala 543/B
Kalukumbura North
Kalukumbura South
Kalukumbura West 186/B
Kalukumbura West 350
Kalumulla
Kalumulla 947/C
Kalumulla Central 14/B
Kalumulla Ihala
Kalumulla Ihala 235/C
Kalumulla North 403/A
Kalumulla Pahala 565
Kalumulla Pahala 990/A
Kalumulla West 424/B
Kaluoya
Kaluoya 343
Kaluoya 583/C
Kaluoya 601/B
Kaluoya Central 875/C
Kaluoya East 409/A
Kaluoya East 510/C
Kaluoya East 577
Kaluoya Ihala 20/B
Kaluoya Ihala 722/A
Kaluoya North 89/C
Kaluoya Pahala 495
Kaluoya South 195
Kaluoya West 900
Kalupitiya 994/B
Kalupitiya Central
Kalupitiya Central 909
Kalupitiya Central 965/C
Kalupitiya East 45/C
Kalupitiya North 972/C
Kalupitiya Pahala 212
Kalupitiya Pahala 289
Kalupitiya Pahala 409/B
Kalupitiya South
Kalupitiya South 672/C
Kalupitiya West 424/A
Kalupura 847
Kalupura Central
Kalupura Central 377/C
Kalupura Central 630/A
